many_ADJ	1857	422304	4289
many_ADJ	1951	1165330	15151
maple	2002	31794	9736
marriage	1972	309990	20502
mass_ADJ	2008	426320	59174
masses	1994	145951	25659
masters_NOUN	1915	25462	5837
matter	1901	355925	11313
matter	1996	1458053	71852
matter	2005	2453431	122104
may_VERB	1831	506746	2455
may_VERB	1963	4250816	29168
me	1900	1704157	11226
mean	2006	2409354	130706
meaningful	1967	63968	14140
measured_VERB	1955	85587	9545
medical_ADJ	2003	1199199	73190
means	1912	454360	13717
medicinal_ADJ	1996	25600	7442
member_NOUN	1973	419393	31304
membranes_NOUN	1903	8885	743
memory	1915	69070	8431
menstrual_ADJ	1978	14486	2168
mercies_NOUN	1830	9419	857
me_PRON	1875	719683	5029
me_PRON	1991	5196479	56054
merest	2001	5145	3758
method	1954	356661	13546
met_VERB	1923	131167	10120
might	1937	567778	11779
might_VERB	1984	1961703	48312
military_ADJ	1901	111955	7056
mind	1927	356074	11335
minimal	1992	153493	33571
mirrors	1969	17964	6263
modification_NOUN	2005	185116	38150
modified_VERB	1998	178440	38802
mobility_NOUN	1981	89975	13997
modulate	1993	9924	3562
molecules_NOUN	1987	166558	7385
moment_NOUN	2000	1400596	80928
more_ADJ	1916	762608	13260
more_ADJ	1984	3285804	51027
more_ADJ	2007	10996907	153413
more_ADV	1932	1024692	10825
more_ADV	1990	6468461	67517
more_ADV	2007	14550301	151673
morphology_NOUN	1968	17787	2945
most	1936	981407	12022
most	1995	6555906	76276
most_ADJ	1980	1319541	44588
most_ADJ	2006	3983703	140351
most_ADV	1988	3208408	58689
most_ADV	2007	8285491	150038
motives_NOUN	1840	19322	2340
motor	1986	234001	20519
mourning_NOUN	2008	79554	34204
move_NOUN	1998	265868	54159
move_VERB	1986	446123	45833
must	1997	5208358	80497
must_VERB	1993	4523240	68772
obscured	2007	58482	33124
observations	1882	30548	3943
observed_ADJ	2006	174341	32970
occupational_ADJ	1980	94731	10142
of	1840	17514416	3196
of	1845	18504639	3293
of	1857	22709660	4319
of	1859	23677062	4572
of	1870	21289748	4588
of	1873	22853764	4799
of	1927	45364471	12560
of	1929	42380263	12430
of	1932	39100655	10940
of	1936	43918659	12168
of	1956	64946524	17453
of	1959	74639846	20780
of	1965	119455832	32998
of	1968	141459028	40613
of	1964	106123691	30661
of	1967	131307546	37635
of	1972	145488245	43700
of	1975	141073331	43864
of	1978	146095122	45652
of	1982	156108744	48445
of	1992	231147910	72390
of	1986	181699744	56268
of	1988	192042082	60669
of	1991	208982900	68158
of	1993	225526016	71656
of	1994	239711234	76662
of	1995	247109635	77888
of	1997	265851223	84099
of	2004	417100795	139614
of	2001	326871736	104142
of	2002	354863056	117204
of	2003	387152071	127061
of_ADP	1852	22551528	4461
of_ADP	1853	25020421	4706
of_ADP	1855	24626815	4404
of_ADP	1861	18191097	3663
of_ADP	1864	19220109	4089
of_ADP	1879	25538795	5912
of_ADP	1891	32627832	7600
of_ADP	1908	53184382	13826
of_ADP	1914	50235230	13962
of_ADP	1915	46362530	13357
of_ADP	1916	44477491	13448
of_ADP	1918	39069865	12225
of_ADP	1920	52381201	14671
of_ADP	1929	42360856	12430
of_ADP	1936	43896707	12168
of_ADP	1937	45049057	12389
of_ADP	1947	49702850	14115
of_ADP	1950	59823657	15761
of_ADP	1955	62150543	16994
of_ADP	1957	69860094	18977
of_ADP	1961	91631837	25762
of_ADP	1963	106490619	29568
of_ADP	1965	119384782	32998
of_ADP	1967	131227481	37635
of_ADP	1969	139609421	40152
of_ADP	1972	145381716	43700
of_ADP	1973	140755468	42412
of_ADP	1974	139338510	42420
of_ADP	1977	145504232	45230
of_ADP	1979	149883452	47093
of_ADP	1981	149832912	46105
of_ADP	1985	172595995	53730
of_ADP	1986	181532773	56268
of_ADP	1988	191864582	60669
of_ADP	1995	246859902	77888
of_ADP	1996	261286069	82089
of_ADP	2000	326256740	103397
of_ADP	2006	438981240	148339
of_ADP	2007	463019212	155465
of_ADP	2008	571397376	206258
offender	2006	89478	14203
office_NOUN	2005	1644104	99008
off	1996	2730964	77473
off	2004	5356981	132944
offing_NOUN	1989	2907	2330
often_ADV	1920	426073	13893
often_ADV	1967	1128894	34439
often	1896	326399	9263
on	1908	6162327	13826
on	1955	7986664	16993
